iterations,time
0,12.766908
1,4.2046705
2,4.227838375
3,4.193274791
4,4.22328425
5,4.384659584
6,4.291581084
7,4.22905475
8,4.375095041
9,4.316514292
10,4.355469583
11,4.3562055
12,4.72953325
13,4.273689292
14,4.546890459
15,4.313970166
16,4.289295041
17,4.579468083
18,4.376051375
19,4.432244209
20,4.482692541
21,4.374839625
22,4.340930708
23,4.38569675
24,4.363274916
25,4.798784291
26,4.523932625
27,4.422353292
28,4.53932225
29,4.30909575
30,4.4344635
