iterations,time
0,12.713577458
1,4.425986459
2,4.276309334
3,4.184345458
4,4.225834334
5,4.274856709
6,4.2289985
7,4.251113334
8,4.588916709
9,4.547714334
10,4.392614042
11,4.444148167
12,4.576828958
13,4.426554417
14,4.503142958
15,4.479451
16,4.575065375
17,4.535181917
18,4.506500125
19,4.542289416
20,4.649159084
21,4.603995292
22,4.58283475
23,4.512726458
24,4.572104875
25,4.586789375
26,4.563043792
27,4.940544459
28,4.533901333
29,5.015588333
30,4.584079333
