iterations,time
0,14.555490375
1,17.124909459
2,16.74337125
3,16.745524125
4,16.7581205
5,16.744249625
6,16.749768042
7,16.755780416
8,16.743727375
9,16.806216875
10,16.7791715
11,16.765320542
12,16.786251417
13,16.776245875
14,16.762379625
15,16.766743125
16,16.755968166
17,16.7766735
18,16.768658083
19,16.763192208
20,16.763039584
21,16.765512833
22,16.773976459
23,16.767482084
24,16.776103542
25,16.7648665
26,16.839800083
27,16.78480775
28,16.771534042
29,16.747887417
30,16.765134875
